algorithm,dataset,run,customers,vehicle_capacity,runtime_ms,total_distance,number_of_routes,operations
Nearest Neighbor,sample_customers.csv,1,10,40,0.209,365.13,4,67
Nearest Neighbor,sample_customers.csv,2,10,40,0.095,365.13,4,67
Nearest Neighbor,sample_customers.csv,3,10,40,0.308,365.13,4,67
Nearest Neighbor,sample_customers.csv,4,10,40,0.106,365.13,4,67
Nearest Neighbor,sample_customers.csv,5,10,40,0.119,365.13,4,67
Clarke-Wright Savings,sample_customers.csv,1,10,40,0.994,318.06,4,260
Clarke-Wright Savings,sample_customers.csv,2,10,40,0.229,318.06,4,260
Clarke-Wright Savings,sample_customers.csv,3,10,40,0.226,318.06,4,260
Clarke-Wright Savings,sample_customers.csv,4,10,40,0.217,318.06,4,260
Clarke-Wright Savings,sample_customers.csv,5,10,40,0.227,318.06,4,260
Harmony Search,sample_customers.csv,1,10,40,9.626,335.00,4,500
Harmony Search,sample_customers.csv,2,10,40,9.616,351.75,4,500
Harmony Search,sample_customers.csv,3,10,40,8.088,323.82,4,500
Harmony Search,sample_customers.csv,4,10,40,13.174,335.00,4,500
Harmony Search,sample_customers.csv,5,10,40,14.612,346.40,4,500
Exact Search,tiny_customers.csv,1,6,40,209.348,238.91,3,23040
